"Label (Grouping)","Churchill County, Nevada!!Total!!Estimate","Churchill County, Nevada!!Total!!Margin of Error","Churchill County, Nevada!!Percent!!Estimate","Churchill County, Nevada!!Percent!!Margin of Error","Churchill County, Nevada!!Male!!Estimate","Churchill County, Nevada!!Male!!Margin of Error","Churchill County, Nevada!!Percent Male!!Estimate","Churchill County, Nevada!!Percent Male!!Margin of Error","Churchill County, Nevada!!Female!!Estimate","Churchill County, Nevada!!Female!!Margin of Error","Churchill County, Nevada!!Percent Female!!Estimate","Churchill County, Nevada!!Percent Female!!Margin of Error","Douglas County, Nevada!!Total!!Estimate","Douglas County, Nevada!!Total!!Margin of Error","Douglas County, Nevada!!Percent!!Estimate","Douglas County, Nevada!!Percent!!Margin of Error","Douglas County, Nevada!!Male!!Estimate","Douglas County, Nevada!!Male!!Margin of Error","Douglas County, Nevada!!Percent Male!!Estimate","Douglas County, Nevada!!Percent Male!!Margin of Error","Douglas County, Nevada!!Female!!Estimate","Douglas County, Nevada!!Female!!Margin of Error","Douglas County, Nevada!!Percent Female!!Estimate","Douglas County, Nevada!!Percent Female!!Margin of Error","Elko County, Nevada!!Total!!Estimate","Elko County, Nevada!!Total!!Margin of Error","Elko County, Nevada!!Percent!!Estimate","Elko County, Nevada!!Percent!!Margin of Error","Elko County, Nevada!!Male!!Estimate","Elko County, Nevada!!Male!!Margin of Error","Elko County, Nevada!!Percent Male!!Estimate","Elko County, Nevada!!Percent Male!!Margin of Error","Elko County, Nevada!!Female!!Estimate","Elko County, Nevada!!Female!!Margin of Error","Elko County, Nevada!!Percent Female!!Estimate","Elko County, Nevada!!Percent Female!!Margin of Error","Esmeralda County, Nevada!!Total!!Estimate","Esmeralda County, Nevada!!Total!!Margin of Error","Esmeralda County, Nevada!!Percent!!Estimate","Esmeralda County, Nevada!!Percent!!Margin of Error","Esmeralda County, Nevada!!Male!!Estimate","Esmeralda County, Nevada!!Male!!Margin of Error","Esmeralda County, Nevada!!Percent Male!!Estimate","Esmeralda County, Nevada!!Percent Male!!Margin of Error","Esmeralda County, Nevada!!Female!!Estimate","Esmeralda County, Nevada!!Female!!Margin of Error","Esmeralda County, Nevada!!Percent Female!!Estimate","Esmeralda County, Nevada!!Percent Female!!Margin of Error","Eureka County, Nevada!!Total!!Estimate","Eureka County, Nevada!!Total!!Margin of Error","Eureka County, Nevada!!Percent!!Estimate","Eureka County, Nevada!!Percent!!Margin of Error","Eureka County, Nevada!!Male!!Estimate","Eureka County, Nevada!!Male!!Margin of Error","Eureka County, Nevada!!Percent Male!!Estimate","Eureka County, Nevada!!Percent Male!!Margin of Error","Eureka County, Nevada!!Female!!Estimate","Eureka County, Nevada!!Female!!Margin of Error","Eureka County, Nevada!!Percent Female!!Estimate","Eureka County, Nevada!!Percent Female!!Margin of Error","Humboldt County, Nevada!!Total!!Estimate","Humboldt County, Nevada!!Total!!Margin of Error","Humboldt County, Nevada!!Percent!!Estimate","Humboldt County, Nevada!!Percent!!Margin of Error","Humboldt County, Nevada!!Male!!Estimate","Humboldt County, Nevada!!Male!!Margin of Error","Humboldt County, Nevada!!Percent Male!!Estimate","Humboldt County, Nevada!!Percent Male!!Margin of Error","Humboldt County, Nevada!!Female!!Estimate","Humboldt County, Nevada!!Female!!Margin of Error","Humboldt County, Nevada!!Percent Female!!Estimate","Humboldt County, Nevada!!Percent Female!!Margin of Error","Lander County, Nevada!!Total!!Estimate","Lander County, Nevada!!Total!!Margin of Error","Lander County, Nevada!!Percent!!Estimate","Lander County, Nevada!!Percent!!Margin of Error","Lander County, Nevada!!Male!!Estimate","Lander County, Nevada!!Male!!Margin of Error","Lander County, Nevada!!Percent Male!!Estimate","Lander County, Nevada!!Percent Male!!Margin of Error","Lander County, Nevada!!Female!!Estimate","Lander County, Nevada!!Female!!Margin of Error","Lander County, Nevada!!Percent Female!!Estimate","Lander County, Nevada!!Percent Female!!Margin of Error","Lincoln County, Nevada!!Total!!Estimate","Lincoln County, Nevada!!Total!!Margin of Error","Lincoln County, Nevada!!Percent!!Estimate","Lincoln County, Nevada!!Percent!!Margin of Error","Lincoln County, Nevada!!Male!!Estimate","Lincoln County, Nevada!!Male!!Margin of Error","Lincoln County, Nevada!!Percent Male!!Estimate","Lincoln County, Nevada!!Percent Male!!Margin of Error","Lincoln County, Nevada!!Female!!Estimate","Lincoln County, Nevada!!Female!!Margin of Error","Lincoln County, Nevada!!Percent Female!!Estimate","Lincoln County, Nevada!!Percent Female!!Margin of Error","Lyon County, Nevada!!Total!!Estimate","Lyon County, Nevada!!Total!!Margin of Error","Lyon County, Nevada!!Percent!!Estimate","Lyon County, Nevada!!Percent!!Margin of Error","Lyon County, Nevada!!Male!!Estimate","Lyon County, Nevada!!Male!!Margin of Error","Lyon County, Nevada!!Percent Male!!Estimate","Lyon County, Nevada!!Percent Male!!Margin of Error","Lyon County, Nevada!!Female!!Estimate","Lyon County, Nevada!!Female!!Margin of Error","Lyon County, Nevada!!Percent Female!!Estimate","Lyon County, Nevada!!Percent Female!!Margin of Error","Mineral County, Nevada!!Total!!Estimate","Mineral County, Nevada!!Total!!Margin of Error","Mineral County, Nevada!!Percent!!Estimate","Mineral County, Nevada!!Percent!!Margin of Error","Mineral County, Nevada!!Male!!Estimate","Mineral County, Nevada!!Male!!Margin of Error","Mineral County, Nevada!!Percent Male!!Estimate","Mineral County, Nevada!!Percent Male!!Margin of Error","Mineral County, Nevada!!Female!!Estimate","Mineral County, Nevada!!Female!!Margin of Error","Mineral County, Nevada!!Percent Female!!Estimate","Mineral County, Nevada!!Percent Female!!Margin of Error","Nye County, Nevada!!Total!!Estimate","Nye County, Nevada!!Total!!Margin of Error","Nye County, Nevada!!Percent!!Estimate","Nye County, Nevada!!Percent!!Margin of Error","Nye County, Nevada!!Male!!Estimate","Nye County, Nevada!!Male!!Margin of Error","Nye County, Nevada!!Percent Male!!Estimate","Nye County, Nevada!!Percent Male!!Margin of Error","Nye County, Nevada!!Female!!Estimate","Nye County, Nevada!!Female!!Margin of Error","Nye County, Nevada!!Percent Female!!Estimate","Nye County, Nevada!!Percent Female!!Margin of Error","Pershing County, Nevada!!Total!!Estimate","Pershing County, Nevada!!Total!!Margin of Error","Pershing County, Nevada!!Percent!!Estimate","Pershing County, Nevada!!Percent!!Margin of Error","Pershing County, Nevada!!Male!!Estimate","Pershing County, Nevada!!Male!!Margin of Error","Pershing County, Nevada!!Percent Male!!Estimate","Pershing County, Nevada!!Percent Male!!Margin of Error","Pershing County, Nevada!!Female!!Estimate","Pershing County, Nevada!!Female!!Margin of Error","Pershing County, Nevada!!Percent Female!!Estimate","Pershing County, Nevada!!Percent Female!!Margin of Error","Storey County, Nevada!!Total!!Estimate","Storey County, Nevada!!Total!!Margin of Error","Storey County, Nevada!!Percent!!Estimate","Storey County, Nevada!!Percent!!Margin of Error","Storey County, Nevada!!Male!!Estimate","Storey County, Nevada!!Male!!Margin of Error","Storey County, Nevada!!Percent Male!!Estimate","Storey County, Nevada!!Percent Male!!Margin of Error","Storey County, Nevada!!Female!!Estimate","Storey County, Nevada!!Female!!Margin of Error","Storey County, Nevada!!Percent Female!!Estimate","Storey County, Nevada!!Percent Female!!Margin of Error","White Pine County, Nevada!!Total!!Estimate","White Pine County, Nevada!!Total!!Margin of Error","White Pine County, Nevada!!Percent!!Estimate","White Pine County, Nevada!!Percent!!Margin of Error","White Pine County, Nevada!!Male!!Estimate","White Pine County, Nevada!!Male!!Margin of Error","White Pine County, Nevada!!Percent Male!!Estimate","White Pine County, Nevada!!Percent Male!!Margin of Error","White Pine County, Nevada!!Female!!Estimate","White Pine County, Nevada!!Female!!Margin of Error","White Pine County, Nevada!!Percent Female!!Estimate","White Pine County, Nevada!!Percent Female!!Margin of Error","Carson City, Nevada!!Total!!Estimate","Carson City, Nevada!!Total!!Margin of Error","Carson City, Nevada!!Percent!!Estimate","Carson City, Nevada!!Percent!!Margin of Error","Carson City, Nevada!!Male!!Estimate","Carson City, Nevada!!Male!!Margin of Error","Carson City, Nevada!!Percent Male!!Estimate","Carson City, Nevada!!Percent Male!!Margin of Error","Carson City, Nevada!!Female!!Estimate","Carson City, Nevada!!Female!!Margin of Error","Carson City, Nevada!!Percent Female!!Estimate","Carson City, Nevada!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","2,247","±141","(X)","(X)","1,230","±117","(X)","(X)","1,017","±90","(X)","(X)","2,957","±108","(X)","(X)","1,549","±72","(X)","(X)","1,408","±96","(X)","(X)","4,775","±120","(X)","(X)","2,542","±98","(X)","(X)","2,233","±94","(X)","(X)","11","±18","(X)","(X)","11","±18","(X)","(X)","0","±14","(X)","(X)","89","±70","(X)","(X)","62","±58","(X)","(X)","27","±39","(X)","(X)","1,372","±91","(X)","(X)","703","±91","(X)","(X)","669","±13","(X)","(X)","368","±181","(X)","(X)","284","±150","(X)","(X)","84","±78","(X)","(X)","326","±135","(X)","(X)","190","±98","(X)","(X)","136","±75","(X)","(X)","3,934","±202","(X)","(X)","1,997","±147","(X)","(X)","1,937","±115","(X)","(X)","400","±136","(X)","(X)","78","±47","(X)","(X)","322","±134","(X)","(X)","2,709","±279","(X)","(X)","1,481","±206","(X)","(X)","1,228","±148","(X)","(X)","461","±143","(X)","(X)","347","±117","(X)","(X)","114","±59","(X)","(X)","318","±133","(X)","(X)","173","±80","(X)","(X)","145","±69","(X)","(X)","471","±139","(X)","(X)","313","±112","(X)","(X)","158","±86","(X)","(X)","4,599","±144","(X)","(X)","2,549","±109","(X)","(X)","2,050","±78","(X)","(X)"
"        Less than high school graduate","520","±210","23.1%","±9.2","251","±131","20.4%","±9.9","269","±165","26.5%","±15.7","459","±153","15.5%","±5.3","347","±132","22.4%","±8.7","112","±70","8.0%","±4.9","774","±190","16.2%","±4.0","412","±113","16.2%","±4.5","362","±152","16.2%","±6.9","0","±14","0.0%","±100.0","0","±14","0.0%","±100.0","0","±14","-","**","47","±58","52.8%","±44.7","47","±58","75.8%","±44.6","0","±14","0.0%","±65.3","275","±126","20.0%","±9.1","152","±81","21.6%","±11.6","123","±98","18.4%","±14.8","105","±121","28.5%","±28.8","100","±121","35.2%","±33.5","5","±6","6.0%","±11.6","90","±85","27.6%","±22.0","62","±63","32.6%","±27.8","28","±48","20.6%","±29.9","706","±199","17.9%","±5.0","414","±163","20.7%","±8.0","292","±118","15.1%","±6.0","107","±89","26.8%","±18.6","39","±28","50.0%","±17.4","68","±84","21.1%","±23.0","394","±167","14.5%","±5.8","216","±117","14.6%","±7.9","178","±104","14.5%","±7.8","53","±39","11.5%","±7.9","37","±25","10.7%","±6.8","16","±22","14.0%","±20.9","136","±83","42.8%","±21.8","67","±46","38.7%","±22.5","69","±40","47.6%","±26.5","179","±92","38.0%","±18.4","132","±56","42.2%","±17.3","47","±71","29.7%","±41.5","661","±163","14.4%","±3.5","512","±146","20.1%","±5.8","149","±93","7.3%","±4.5"
"        High school graduate (includes equivalency)","881","±179","39.2%","±8.3","480","±137","39.0%","±11.2","401","±130","39.4%","±12.8","1,137","±269","38.5%","±8.8","634","±168","40.9%","±10.2","503","±205","35.7%","±14.0","1,913","±329","40.1%","±6.7","1,145","±240","45.0%","±8.9","768","±193","34.4%","±8.6","1","±3","9.1%","±27.8","1","±3","9.1%","±27.8","0","±14","-","**","0","±14","0.0%","±35.7","0","±14","0.0%","±43.1","0","±14","0.0%","±65.3","562","±150","41.0%","±10.5","292","±128","41.5%","±15.8","270","±102","40.4%","±15.2","208","±119","56.5%","±24.0","142","±96","50.0%","±30.2","66","±77","78.6%","±37.5","161","±101","49.4%","±27.0","109","±74","57.4%","±30.1","52","±54","38.2%","±35.0","2,032","±294","51.7%","±7.3","1,043","±254","52.2%","±12.2","989","±152","51.1%","±8.7","153","±102","38.3%","±24.0","39","±27","50.0%","±17.4","114","±99","35.4%","±29.5","1,406","±294","51.9%","±9.2","665","±262","44.9%","±15.8","741","±148","60.3%","±12.5","265","±97","57.5%","±17.0","229","±94","66.0%","±18.8","36","±31","31.6%","±27.4","143","±104","45.0%","±23.3","82","±63","47.4%","±25.3","61","±56","42.1%","±28.0","149","±86","31.6%","±16.7","50","±44","16.0%","±14.4","99","±83","62.7%","±39.9","1,782","±257","38.7%","±5.6","983","±191","38.6%","±7.4","799","±152","39.0%","±7.5"
"        Some college or associate's degree","791","±245","35.2%","±10.4","444","±141","36.1%","±11.5","347","±174","34.1%","±16.9","1,187","±272","40.1%","±9.2","459","±138","29.6%","±8.9","728","±191","51.7%","±13.8","1,742","±311","36.5%","±6.5","766","±172","30.1%","±6.9","976","±215","43.7%","±9.1","10","±18","90.9%","±27.8","10","±18","90.9%","±27.8","0","±14","-","**","42","±44","47.2%","±44.7","15","±24","24.2%","±44.6","27","±39","100.0%","±65.3","406","±118","29.6%","±8.5","217","±87","30.9%","±12.3","189","±72","28.3%","±10.8","55","±55","14.9%","±12.9","42","±53","14.8%","±19.1","13","±23","15.5%","±32.7","75","±80","23.0%","±23.1","19","±32","10.0%","±16.4","56","±54","41.2%","±36.3","1,102","±245","28.0%","±6.0","489","±189","24.5%","±9.2","613","±164","31.6%","±7.7","140","±105","35.0%","±25.2","0","±14","0.0%","±38.4","140","±105","43.5%","±31.4","869","±275","32.1%","±9.8","600","±265","40.5%","±17.2","269","±147","21.9%","±10.9","118","±95","25.6%","±17.7","81","±76","23.3%","±19.3","37","±46","32.5%","±33.9","39","±32","12.3%","±10.3","24","±23","13.9%","±14.1","15","±23","10.3%","±15.1","143","±94","30.4%","±15.4","131","±92","41.9%","±21.0","12","±17","7.6%","±11.3","1,944","±267","42.3%","±5.5","996","±208","39.1%","±7.7","948","±166","46.2%","±7.9"
"        Bachelor's degree or higher","55","±65","2.4%","±2.8","55","±65","4.5%","±5.0","0","±25","0.0%","±4.1","174","±115","5.9%","±3.8","109","±93","7.0%","±6.0","65","±61","4.6%","±4.2","346","±194","7.2%","±4.1","219","±165","8.6%","±6.5","127","±101","5.7%","±4.6","0","±14","0.0%","±100.0","0","±14","0.0%","±100.0","0","±14","-","**","0","±14","0.0%","±35.7","0","±14","0.0%","±43.1","0","±14","0.0%","±65.3","129","±90","9.4%","±6.6","42","±44","6.0%","±6.3","87","±78","13.0%","±11.7","0","±19","0.0%","±10.9","0","±19","0.0%","±13.9","0","±19","0.0%","±36.9","0","±14","0.0%","±12.2","0","±14","0.0%","±19.9","0","±14","0.0%","±26.3","94","±95","2.4%","±2.4","51","±58","2.6%","±2.8","43","±56","2.2%","±2.8","0","±14","0.0%","±10.1","0","±14","0.0%","±38.4","0","±14","0.0%","±12.3","40","±42","1.5%","±1.6","0","±32","0.0%","±2.8","40","±42","3.3%","±3.4","25","±33","5.4%","±6.8","0","±19","0.0%","±11.5","25","±33","21.9%","±26.8","0","±14","0.0%","±12.5","0","±14","0.0%","±21.6","0","±14","0.0%","±25.0","0","±19","0.0%","±8.6","0","±19","0.0%","±12.7","0","±19","0.0%","±23.3","212","±102","4.6%","±2.2","58","±47","2.3%","±1.8","154","±82","7.5%","±3.9"
"    Population 25 years and over","17,516","±232","(X)","(X)","8,948","±231","(X)","(X)","8,568","±136","(X)","(X)","38,843","±115","(X)","(X)","19,517","±144","(X)","(X)","19,326","±108","(X)","(X)","34,678","±156","(X)","(X)","18,209","±181","(X)","(X)","16,469","±141","(X)","(X)","873","±234","(X)","(X)","479","±138","(X)","(X)","394","±152","(X)","(X)","1,111","±232","(X)","(X)","551","±104","(X)","(X)","560","±142","(X)","(X)","11,339","±97","(X)","(X)","6,007","±114","(X)","(X)","5,332","±90","(X)","(X)","3,854","±249","(X)","(X)","2,069","±167","(X)","(X)","1,785","±164","(X)","(X)","3,187","±248","(X)","(X)","1,785","±192","(X)","(X)","1,402","±189","(X)","(X)","43,054","±160","(X)","(X)","22,328","±128","(X)","(X)","20,726","±101","(X)","(X)","3,263","±188","(X)","(X)","1,631","±186","(X)","(X)","1,632","±149","(X)","(X)","40,380","±294","(X)","(X)","20,701","±245","(X)","(X)","19,679","±133","(X)","(X)","5,013","±143","(X)","(X)","3,356","±124","(X)","(X)","1,657","±71","(X)","(X)","3,113","±219","(X)","(X)","1,640","±225","(X)","(X)","1,473","±193","(X)","(X)","6,727","±139","(X)","(X)","3,962","±159","(X)","(X)","2,765","±160","(X)","(X)","41,987","±145","(X)","(X)","21,798","±131","(X)","(X)","20,189","±105","(X)","(X)"
"        Less than 9th grade","438","±190","2.5%","±1.1","212","±124","2.4%","±1.4","226","±125","2.6%","±1.4","870","±221","2.2%","±0.6","466","±148","2.4%","±0.8","404","±144","2.1%","±0.7","1,625","±413","4.7%","±1.2","490","±153","2.7%","±0.8","1,135","±398","6.9%","±2.4","35","±43","4.0%","±4.8","24","±30","5.0%","±6.2","11","±19","2.8%","±4.6","25","±38","2.3%","±3.5","25","±38","4.5%","±7.0","0","±14","0.0%","±7.3","627","±171","5.5%","±1.5","383","±138","6.4%","±2.3","244","±99","4.6%","±1.9","40","±34","1.0%","±0.9","18","±21","0.9%","±1.0","22","±29","1.2%","±1.6","94","±58","2.9%","±1.8","39","±36","2.2%","±2.1","55","±52","3.9%","±3.6","1,873","±417","4.4%","±1.0","1,067","±270","4.8%","±1.2","806","±304","3.9%","±1.5","73","±67","2.2%","±2.1","48","±53","2.9%","±3.3","25","±38","1.5%","±2.3","1,918","±374","4.7%","±0.9","1,177","±278","5.7%","±1.3","741","±220","3.8%","±1.1","144","±74","2.9%","±1.5","59","±36","1.8%","±1.1","85","±51","5.1%","±3.0","19","±20","0.6%","±0.7","10","±16","0.6%","±1.0","9","±14","0.6%","±1.0","195","±98","2.9%","±1.4","149","±80","3.8%","±2.0","46","±51","1.7%","±1.8","1,680","±285","4.0%","±0.7","821","±185","3.8%","±0.8","859","±207","4.3%","±1.0"
"        9th to 12th grade, no diploma","930","±271","5.3%","±1.5","606","±203","6.8%","±2.3","324","±141","3.8%","±1.6","1,698","±341","4.4%","±0.9","875","±252","4.5%","±1.3","823","±233","4.3%","±1.2","2,224","±393","6.4%","±1.1","962","±236","5.3%","±1.3","1,262","±292","7.7%","±1.8","156","±120","17.9%","±12.0","150","±120","31.3%","±19.1","6","±10","1.5%","±2.8","28","±23","2.5%","±2.1","7","±7","1.3%","±1.3","21","±22","3.8%","±4.0","1,027","±252","9.1%","±2.2","568","±166","9.5%","±2.7","459","±161","8.6%","±3.1","336","±148","8.7%","±3.6","315","±147","15.2%","±6.8","21","±16","1.2%","±0.9","281","±130","8.8%","±4.0","208","±92","11.7%","±5.1","73","±65","5.2%","±4.6","3,566","±483","8.3%","±1.1","1,709","±337","7.7%","±1.5","1,857","±320","9.0%","±1.5","245","±100","7.5%","±3.1","172","±98","10.5%","±5.9","73","±39","4.5%","±2.4","3,458","±530","8.6%","±1.3","1,731","±315","8.4%","±1.5","1,727","±398","8.8%","±2.0","655","±164","13.1%","±3.3","540","±149","16.1%","±4.5","115","±63","6.9%","±3.8","217","±125","7.0%","±3.9","162","±119","9.9%","±7.0","55","±55","3.7%","±3.6","524","±128","7.8%","±1.9","415","±110","10.5%","±2.8","109","±54","3.9%","±2.0","3,123","±437","7.4%","±1.0","1,606","±261","7.4%","±1.2","1,517","±307","7.5%","±1.5"
"        High school graduate (includes equivalency)","5,914","±657","33.8%","±3.8","3,199","±354","35.8%","±4.1","2,715","±449","31.7%","±5.3","9,459","±563","24.4%","±1.5","4,694","±433","24.1%","±2.2","4,765","±337","24.7%","±1.7","11,725","±771","33.8%","±2.2","6,617","±648","36.3%","±3.6","5,108","±500","31.0%","±3.0","198","±74","22.7%","±8.0","102","±40","21.3%","±8.8","96","±52","24.4%","±13.0","467","±146","42.0%","±10.2","270","±89","49.0%","±12.2","197","±96","35.2%","±15.9","3,868","±429","34.1%","±3.7","2,151","±311","35.8%","±5.1","1,717","±276","32.2%","±5.0","1,334","±301","34.6%","±7.5","598","±198","28.9%","±9.3","736","±183","41.2%","±9.3","1,382","±293","43.4%","±8.0","745","±215","41.7%","±10.0","637","±183","45.4%","±10.4","13,740","±824","31.9%","±1.9","6,949","±666","31.1%","±3.0","6,791","±550","32.8%","±2.6","1,356","±245","41.6%","±7.8","612","±135","37.5%","±8.8","744","±210","45.6%","±11.7","14,409","±990","35.7%","±2.5","7,602","±679","36.7%","±3.3","6,807","±625","34.6%","±3.2","2,131","±293","42.5%","±5.6","1,514","±228","45.1%","±6.6","617","±128","37.2%","±7.6","594","±176","19.1%","±5.3","269","±146","16.4%","±7.9","325","±123","22.1%","±8.0","2,851","±374","42.4%","±5.4","2,009","±279","50.7%","±6.2","842","±227","30.5%","±7.8","10,745","±810","25.6%","±1.9","5,859","±560","26.9%","±2.6","4,886","±501","24.2%","±2.5"
